NO,共通ID,施設・場所名,住所,洪水,崖崩れ、土石流及び地滑り,高潮,地震,津波,大規模な火事,内水氾濫,火山現象,指定避難所との住所同一,緯度,経度,備考
1398,E1321300014201,秋津東小学校,東京都東村山市秋津町4-35-11,1,1,,1,,,,,1,35.7747016034235,139.488766743049,
1399,E1321300016201,化成小学校,東京都東村山市諏訪町1-4-1,1,1,,1,,,,,1,35.7647989613067,139.465844810854,
1400,E1321300017201,八国山緑地,東京都東村山市諏訪町2,,,,1,,1,,,,35.7682860543655,139.456224909043,
1401,E1321300022201,青葉小学校,東京都東村山市青葉町2-33-1,1,1,,1,,,,,1,35.7646006635164,139.490088365902,
1402,E1321300023201,狭山公園内　風の広場・太陽広場,東京都東村山市多摩湖町3-17-19,,,,1,,1,,,,35.763783,139.441741,
1403,E1321100095201,東京都立小平霊園,東京都東村山市萩山町1-16-1,,,,1,,1,1,,,35.74159608,139.4854981,
1404,E1321300024201,小平霊園,東京都東村山市萩山町1-16-1,,,,1,,1,,,,35.7401519876771,139.48529694403,
1405,E1321300027201,萩山小学校,東京都東村山市萩山町4-16-1,1,1,,1,,,,,1,35.7435485991665,139.477853291089,
1406,E1321300028201,東村山第三中学校,東京都東村山市萩山町5-2-1,1,1,,1,,,,,1,35.7479030184947,139.47668107254,
1407,E1321300029201,東萩山小学校,東京都東村山市萩山町5-7-1,1,1,,1,,,,,1,35.7463098255854,139.477654953432,
1408,E1321300030201,東村山第七中学校,東京都東村山市美住町2-23-1,1,1,,1,,,,,,35.7554542369244,139.459520832959,
1409,E1321300032201,南台小学校,東京都東村山市富士見町1-16-12,1,1,,1,,,,,1,35.7444299616452,139.45527530328,
1410,E1321300033201,東村山第一中学校,東京都東村山市富士見町1-5-2,1,1,,1,,,,,1,35.7425141641746,139.46090691597,
1411,E1321300041201,富士見小学校,東京都東村山市富士見町5-4-57,1,1,,1,,,,,1,35.7464533664761,139.458555401998,
1412,E1321300042201,東村山中央公園,東京都東村山市富士見町5-4-67,,,,1,,1,,,,35.7473170581157,139.459920669193,
1413,E1321300044201,東村山第四中学校,東京都東村山市野口町3-24-1,1,1,,1,,,,,1,35.7641396074119,139.453681346106,
1414,E1321300045201,北山小学校,東京都東村山市野口町3-45-1,,1,,1,,,,,1,35.7661089671619,139.455584287635,
1415,E1322000001201,東大和市立第五中学校,東京都東大和市芋窪5-1119,1,1,,1,,1,1,,1,35.748204755233,139.416978363556,
1416,E1322000002201,東大和市立第七小学校,東京都東大和市芋窪5-1171,,1,,1,,1,,,1,35.7500764131913,139.414565810004,
1417,E1322000003201,東大和市立狭山公民館,東京都東大和市狭山3-1344-1,1,1,,,,,1,,1,35.755862,139.437687,
1418,E1322000004201,東大和市立第四小学校,東京都東大和市狭山5-1038,,1,,1,,1,,,1,35.7488865079795,139.440486265024,
1419,E1322000005201,上仲原公園,東京都東大和市向原1-1,,,,1,,1,,,,35.7409607996979,139.443767722965,
1420,E1322000006201,東大和市立第五小学校,東京都東大和市向原1-11,1,1,,1,,1,1,,1,35.7410325539154,139.440759187257,
1421,E1322000007201,向原中央広場,東京都東大和市向原3-10,,,,1,,1,,,1,35.7392641131545,139.435610030349,
1422,E1322000007202,東大和市立向原市民センター,東京都東大和市向原3-10,1,1,,,,,1,,1,35.740619,139.436858,
1423,E1322000008201,東大和南公園,東京都東大和市桜が丘2-106-2,,,,1,,1,,,,35.734126415416,139.422074603523,
1424,E1322000009201,桜が丘市民広場,東京都東大和市桜が丘2-142-2,,,,1,,1,,,,35.7354414606108,139.426140832381,
1425,E1322000010201,東大和市立市民体育館,東京都東大和市桜が丘2-167-13,1,1,,,,,1,,1,35.735875,139.421466,
1426,E1322000011201,東大和市立桜が丘市民センター,東京都東大和市桜が丘3-44-13,1,1,,,,,1,,1,35.734318,139.4202,
1427,E1322000012201,都立東大和南高校,東京都東大和市桜が丘3-44-8,,,,1,,1,,,1,35.7321935167207,139.423463484211,
1428,E1322000013201,東大和市立上北台市民センター,東京都東大和市上北台2-865-9,1,1,,,,,1,,1,35.742872,139.414756,
1429,E1322000014201,東大和市立第十小学校,東京都東大和市上北台3-399,1,1,,1,,1,1,,1,35.7418327709086,139.41311390064,
1430,E1322000015201,東大和市立新堀地区会館,東京都東大和市新堀3-6-1,1,1,,,,,1,,1,35.738207,139.446999,
1431,E1322000034201,清原中央公園,東京都東大和市清原1-1213-1,,,,1,,1,,,,35.743733,139.448233,
1432,E1322000017201,東大和市立清原市民センター,東京都東大和市清原4-1,1,1,,,,,1,,1,35.740824,139.447269,
1433,E1322000018201,東大和市立第三小学校,東京都東大和市清原4-1312-2,1,1,,1,,1,1,,1,35.740124438242,139.446987062637,
1434,E1322000019201,東大和市立蔵敷公民館,東京都東大和市蔵敷2-337,1,1,,,,,1,,1,35.754231,139.416211,
1435,E1322000020201,東大和市立第九小学校,東京都東大和市蔵敷2-546,1,1,,1,,1,1,,1,35.7517218763728,139.419687918081,
1436,E1322000021201,東大和市立中央公民館,東京都東大和市中央3-926,1,1,,,,,1,,1,35.744551,139.426569,
1437,E1322000022201,都立東大和高校,東京都東大和市中央3-945,,,,1,,1,,,1,35.7452191786678,139.424660051569,
1438,E1322000023201,東大和市立第六小学校,東京都東大和市仲原1-5-1,1,1,,1,,1,1,,1,35.7444923948634,139.443476674544,
1439,E1322000024201,東大和市立第三中学校,東京都東大和市仲原2-7,1,1,,1,,1,1,,1,35.7446329144197,139.44183678889,
1440,E1322000025201,東大和市立郷土博物館,東京都東大和市奈良橋1-260-2,1,,,,,,1,,1,35.7552,139.423063,
1441,E1322000026201,東大和市立第一中学校,東京都東大和市奈良橋3-530,1,1,,1,,1,1,,1,35.7513343676613,139.428006383648,
1442,E1322000027201,東大和市立第一小学校,東京都東大和市奈良橋4-573,1,1,,1,,1,1,,1,35.7516578377836,139.426004307691,
1443,E1322000028201,東大和市立奈良橋市民センター,東京都東大和市奈良橋4-600,1,1,,,,,1,,1,35.752425,139.425832,
1444,E1322000029201,東大和市立第二中学校,東京都東大和市南街3-60-4,1,1,,1,,1,1,,1,35.7394862422403,139.428559962114,
1445,E1322000030201,東大和市立第二小学校,東京都東大和市南街3-61-2,1,1,,1,,1,,,1,35.7382942655788,139.429084117422,
1446,E1322000031201,東大和市立南街市民センター,東京都東大和市南街5-32,1,1,,,,,1,,1,35.737188,139.431561,
1447,E1322000032201,東大和市立第四中学校,東京都東大和市立野2-6-2,1,1,,1,,1,1,,1,35.744946339308,139.418465968079,
1448,E1322000033201,東大和市立第八小学校,東京都東大和市立野3-1255,1,1,,1,,1,,,1,35.7413933247145,139.422213623176,
1449,E1322400072201,総合福祉センター立体駐車場（７０台）,東京都南野3-15-1,1,1,,,,,1,,,35.612574,139.412717,
1450,E1322400071201,アクアブルー多摩立体駐車場（３００台）,東京都南野3-15-2,1,1,,,,,1,,,35.612125,139.414288,
1451,E1330500001201,日の出町やまびこホール,東京都日の出町大久野1165-2,1,1,,1,,,1,,1,35.7457064206971,139.235975737804,
1452,E1330500003201,大久野小学校,東京都日の出町大久野1176,1,1,,1,,,1,,,35.7457336479062,139.23528491957,
1453,E1330500004201,大久野中学校,東京都日の出町大久野1559,1,1,,1,,,1,,1,35.7419048542314,139.229858722328,
1454,E1330500005201,大久野老人福祉センター,東京都日の出町大久野2120-1,1,1,,1,,,1,,1,35.743633916582,139.22829745764,
1455,E1330500006201,肝要の里,東京都日の出町大久野4089,1,1,,1,,,1,,1,35.7703566433692,139.206033678923,
1456,E1330500007201,大久野健康いきいきセンター,東京都日の出町大久野696-1,1,1,,1,,,1,,1,35.7500702666922,139.241383161003,
1457,E1330500008201,北大久野地域多目的広場,東京都日の出町大久野697-1,,,,1,,,,,,35.7501239829268,139.241059026471,
1458,E1330500009201,平井小学校,東京都日の出町平井1218,1,1,,1,,,1,,1,35.7411197691903,139.267578025642,
1459,E1330500010201,本宿小学校,東京都日の出町平井1855,1,1,,1,,,1,,1,35.7365380825484,139.262533326021,
1460,E1330500011201,本宿老人福祉センター,東京都日の出町平井1982,1,1,,1,,,1,,1,35.7357212260713,139.260258343696,
1461,E1330500012201,三吉野桜木中央公園,東京都日の出町平井204,,,,1,,,,,,35.7359618648866,139.272497071247,
1462,E1330500013201,日の出団地２号公園,東京都日の出町平井2196-636,,,,1,,,,,,35.737128555395,139.249862921576,
1463,E1330500014201,イオンモール日の出駐車場,東京都日の出町平井237-3,1,1,,1,,,1,,,35.7337856539787,139.275039013085,
1464,E1330500015201,平井中学校,東京都日の出町平井2654,1,1,,1,,,1,,1,35.744662030789,139.256607565695,
1465,E1330500016201,三吉野欠上公園,東京都日の出町平井27,,,,1,,,,,,35.7374696098314,139.278198364565,
1466,E1330500017201,ユートピアサンホーム,東京都日の出町平井2738,1,1,,1,,,1,,1,35.7414688580166,139.256869744617,
1467,E1330500018201,ユートピアひまわりホーム,東京都日の出町平井2738-3,1,1,,1,,,1,,1,35.7412631344114,139.256771593431,
1468,E1330500019201,日の出町民グランド,東京都日の出町平井2777,,,,1,,,,,,35.7400505320049,139.260362757666,
1469,E1330500020201,ひのでグリーンプラザ,東京都日の出町平井3231-1,1,1,,1,,,1,,1,35.7424199249194,139.259280117374,
